sku,title,tags[],specs.weightKg,specs.dimsJson,notes
WIDGET-037,Sample widget 37,"[""audio"", ""popular""]",3.80,"{""w"": 1.1, ""h"": 2.5, ""d"": 2.2}",Batch 2
WIDGET-038,Sample widget 38,"[""office"", ""clearance""]",3.90,"{""w"": 2.1, ""h"": 3.5, ""d"": 3.2}",Batch 2
WIDGET-039,Sample widget 39,"[""usb"", ""bundle""]",4.00,"{""w"": 3.1, ""h"": 4.5, ""d"": 4.2}",Batch 2
WIDGET-040,Sample widget 40,"[""hardware"", ""new""]",0.10,"{""w"": 4.1, ""h"": 5.5, ""d"": 0.2}",Batch 2
WIDGET-041,Sample widget 41,"[""audio"", ""popular""]",0.20,"{""w"": 5.1, ""h"": 6.5, ""d"": 1.2}",Batch 2
WIDGET-042,Sample widget 42,"[""office"", ""clearance""]",0.30,"{""w"": 6.1, ""h"": 0.5, ""d"": 2.2}",Batch 2
WIDGET-043,Sample widget 43,"[""usb"", ""bundle""]",0.40,"{""w"": 7.1, ""h"": 1.5, ""d"": 3.2}",Batch 2
WIDGET-044,Sample widget 44,"[""hardware"", ""new""]",0.50,"{""w"": 8.1, ""h"": 2.5, ""d"": 4.2}",Batch 2
WIDGET-045,Sample widget 45,"[""audio"", ""popular""]",0.60,"{""w"": 0.1, ""h"": 3.5, ""d"": 0.2}",Batch 2
WIDGET-046,Sample widget 46,"[""office"", ""clearance""]",0.70,"{""w"": 1.1, ""h"": 4.5, ""d"": 1.2}",Batch 2
WIDGET-047,Sample widget 47,"[""usb"", ""bundle""]",0.80,"{""w"": 2.1, ""h"": 5.5, ""d"": 2.2}",Batch 2
WIDGET-048,Sample widget 48,"[""hardware"", ""new""]",0.90,"{""w"": 3.1, ""h"": 6.5, ""d"": 3.2}",Batch 2
WIDGET-049,Sample widget 49,"[""audio"", ""popular""]",1.00,"{""w"": 4.1, ""h"": 0.5, ""d"": 4.2}",Batch 2
WIDGET-050,Sample widget 50,"[""office"", ""clearance""]",1.10,"{""w"": 5.1, ""h"": 1.5, ""d"": 0.2}",Batch 3
WIDGET-051,Sample widget 51,"[""usb"", ""bundle""]",1.20,"{""w"": 6.1, ""h"": 2.5, ""d"": 1.2}",Batch 3
WIDGET-052,Sample widget 52,"[""hardware"", ""new""]",1.30,"{""w"": 7.1, ""h"": 3.5, ""d"": 2.2}",Batch 3
WIDGET-053,Sample widget 53,"[""audio"", ""popular""]",1.40,"{""w"": 8.1, ""h"": 4.5, ""d"": 3.2}",Batch 3
WIDGET-054,Sample widget 54,"[""office"", ""clearance""]",1.50,"{""w"": 0.1, ""h"": 5.5, ""d"": 4.2}",Batch 3
WIDGET-055,Sample widget 55,"[""usb"", ""bundle""]",1.60,"{""w"": 1.1, ""h"": 6.5, ""d"": 0.2}",Batch 3
WIDGET-056,Sample widget 56,"[""hardware"", ""new""]",1.70,"{""w"": 2.1, ""h"": 0.5, ""d"": 1.2}",Batch 3
WIDGET-057,Sample widget 57,"[""audio"", ""popular""]",1.80,"{""w"": 3.1, ""h"": 1.5, ""d"": 2.2}",Batch 3
WIDGET-058,Sample widget 58,"[""office"", ""clearance""]",1.90,"{""w"": 4.1, ""h"": 2.5, ""d"": 3.2}",Batch 3
WIDGET-059,Sample widget 59,"[""usb"", ""bundle""]",2.00,"{""w"": 5.1, ""h"": 3.5, ""d"": 4.2}",Batch 3
WIDGET-060,Sample widget 60,"[""hardware"", ""new""]",2.10,"{""w"": 6.1, ""h"": 4.5, ""d"": 0.2}",Batch 3
WIDGET-061,Sample widget 61,"[""audio"", ""popular""]",2.20,"{""w"": 7.1, ""h"": 5.5, ""d"": 1.2}",Batch 3
WIDGET-062,Sample widget 62,"[""office"", ""clearance""]",2.30,"{""w"": 8.1, ""h"": 6.5, ""d"": 2.2}",Batch 3
WIDGET-063,Sample widget 63,"[""usb"", ""bundle""]",2.40,"{""w"": 0.1, ""h"": 0.5, ""d"": 3.2}",Batch 3
WIDGET-064,Sample widget 64,"[""hardware"", ""new""]",2.50,"{""w"": 1.1, ""h"": 1.5, ""d"": 4.2}",Batch 3
WIDGET-065,Sample widget 65,"[""audio"", ""popular""]",2.60,"{""w"": 2.1, ""h"": 2.5, ""d"": 0.2}",Batch 3
WIDGET-066,Sample widget 66,"[""office"", ""clearance""]",2.70,"{""w"": 3.1, ""h"": 3.5, ""d"": 1.2}",Batch 3
WIDGET-067,Sample widget 67,"[""usb"", ""bundle""]",2.80,"{""w"": 4.1, ""h"": 4.5, ""d"": 2.2}",Batch 3
WIDGET-068,Sample widget 68,"[""hardware"", ""new""]",2.90,"{""w"": 5.1, ""h"": 5.5, ""d"": 3.2}",Batch 3
WIDGET-069,Sample widget 69,"[""audio"", ""popular""]",3.00,"{""w"": 6.1, ""h"": 6.5, ""d"": 4.2}",Batch 3
WIDGET-070,Sample widget 70,"[""office"", ""clearance""]",3.10,"{""w"": 7.1, ""h"": 0.5, ""d"": 0.2}",Batch 3
WIDGET-071,Sample widget 71,"[""usb"", ""bundle""]",3.20,"{""w"": 8.1, ""h"": 1.5, ""d"": 1.2}",Batch 3
WIDGET-072,Sample widget 72,"[""hardware"", ""new""]",3.30,"{""w"": 0.1, ""h"": 2.5, ""d"": 2.2}",Batch 3
WIDGET-073,Sample widget 73,"[""audio"", ""popular""]",3.40,"{""w"": 1.1, ""h"": 3.5, ""d"": 3.2}",Batch 3
WIDGET-074,Sample widget 74,"[""office"", ""clearance""]",3.50,"{""w"": 2.1, ""h"": 4.5, ""d"": 4.2}",Batch 3
WIDGET-075,Sample widget 75,"[""usb"", ""bundle""]",3.60,"{""w"": 3.1, ""h"": 5.5, ""d"": 0.2}",Batch 4
WIDGET-076,Sample widget 76,"[""hardware"", ""new""]",3.70,"{""w"": 4.1, ""h"": 6.5, ""d"": 1.2}",Batch 4
WIDGET-077,Sample widget 77,"[""audio"", ""popular""]",3.80,"{""w"": 5.1, ""h"": 0.5, ""d"": 2.2}",Batch 4
WIDGET-078,Sample widget 78,"[""office"", ""clearance""]",3.90,"{""w"": 6.1, ""h"": 1.5, ""d"": 3.2}",Batch 4
WIDGET-079,Sample widget 79,"[""usb"", ""bundle""]",4.00,"{""w"": 7.1, ""h"": 2.5, ""d"": 4.2}",Batch 4
WIDGET-080,Sample widget 80,"[""hardware"", ""new""]",0.10,"{""w"": 8.1, ""h"": 3.5, ""d"": 0.2}",Batch 4
WIDGET-081,Sample widget 81,"[""audio"", ""popular""]",0.20,"{""w"": 0.1, ""h"": 4.5, ""d"": 1.2}",Batch 4
WIDGET-082,Sample widget 82,"[""office"", ""clearance""]",0.30,"{""w"": 1.1, ""h"": 5.5, ""d"": 2.2}",Batch 4
WIDGET-083,Sample widget 83,"[""usb"", ""bundle""]",0.40,"{""w"": 2.1, ""h"": 6.5, ""d"": 3.2}",Batch 4
WIDGET-084,Sample widget 84,"[""hardware"", ""new""]",0.50,"{""w"": 3.1, ""h"": 0.5, ""d"": 4.2}",Batch 4
WIDGET-085,Sample widget 85,"[""audio"", ""popular""]",0.60,"{""w"": 4.1, ""h"": 1.5, ""d"": 0.2}",Batch 4
WIDGET-086,Sample widget 86,"[""office"", ""clearance""]",0.70,"{""w"": 5.1, ""h"": 2.5, ""d"": 1.2}",Batch 4
WIDGET-087,Sample widget 87,"[""usb"", ""bundle""]",0.80,"{""w"": 6.1, ""h"": 3.5, ""d"": 2.2}",Batch 4
WIDGET-088,Sample widget 88,"[""hardware"", ""new""]",0.90,"{""w"": 7.1, ""h"": 4.5, ""d"": 3.2}",Batch 4
WIDGET-089,Sample widget 89,"[""audio"", ""popular""]",1.00,"{""w"": 8.1, ""h"": 5.5, ""d"": 4.2}",Batch 4
WIDGET-090,Sample widget 90,"[""office"", ""clearance""]",1.10,"{""w"": 0.1, ""h"": 6.5, ""d"": 0.2}",Batch 4
WIDGET-091,Sample widget 91,"[""usb"", ""bundle""]",1.20,"{""w"": 1.1, ""h"": 0.5, ""d"": 1.2}",Batch 4
WIDGET-092,Sample widget 92,"[""hardware"", ""new""]",1.30,"{""w"": 2.1, ""h"": 1.5, ""d"": 2.2}",Batch 4
WIDGET-093,Sample widget 93,"[""audio"", ""popular""]",1.40,"{""w"": 3.1, ""h"": 2.5, ""d"": 3.2}",Batch 4
WIDGET-094,Sample widget 94,"[""office"", ""clearance""]",1.50,"{""w"": 4.1, ""h"": 3.5, ""d"": 4.2}",Batch 4
WIDGET-095,Sample widget 95,"[""usb"", ""bundle""]",1.60,"{""w"": 5.1, ""h"": 4.5, ""d"": 0.2}",Batch 4
WIDGET-096,Sample widget 96,"[""hardware"", ""new""]",1.70,"{""w"": 6.1, ""h"": 5.5, ""d"": 1.2}",Batch 4
WIDGET-097,Sample widget 97,"[""audio"", ""popular""]",1.80,"{""w"": 7.1, ""h"": 6.5, ""d"": 2.2}",Batch 4
WIDGET-098,Sample widget 98,"[""office"", ""clearance""]",1.90,"{""w"": 8.1, ""h"": 0.5, ""d"": 3.2}",Batch 4
WIDGET-099,Sample widget 99,"[""usb"", ""bundle""]",2.00,"{""w"": 0.1, ""h"": 1.5, ""d"": 4.2}",Batch 4
WIDGET-100,Sample widget 100,"[""hardware"", ""new""]",2.10,"{""w"": 1.1, ""h"": 2.5, ""d"": 0.2}",Batch 5
WIDGET-101,Sample widget 101,"[""audio"", ""popular""]",2.20,"{""w"": 2.1, ""h"": 3.5, ""d"": 1.2}",Batch 5
WIDGET-102,Sample widget 102,"[""office"", ""clearance""]",2.30,"{""w"": 3.1, ""h"": 4.5, ""d"": 2.2}",Batch 5
WIDGET-103,Sample widget 103,"[""usb"", ""bundle""]",2.40,"{""w"": 4.1, ""h"": 5.5, ""d"": 3.2}",Batch 5
WIDGET-104,Sample widget 104,"[""hardware"", ""new""]",2.50,"{""w"": 5.1, ""h"": 6.5, ""d"": 4.2}",Batch 5
WIDGET-105,Sample widget 105,"[""audio"", ""popular""]",2.60,"{""w"": 6.1, ""h"": 0.5, ""d"": 0.2}",Batch 5
WIDGET-106,Sample widget 106,"[""office"", ""clearance""]",2.70,"{""w"": 7.1, ""h"": 1.5, ""d"": 1.2}",Batch 5
WIDGET-107,Sample widget 107,"[""usb"", ""bundle""]",2.80,"{""w"": 8.1, ""h"": 2.5, ""d"": 2.2}",Batch 5
WIDGET-108,Sample widget 108,"[""hardware"", ""new""]",2.90,"{""w"": 0.1, ""h"": 3.5, ""d"": 3.2}",Batch 5
WIDGET-109,Sample widget 109,"[""audio"", ""popular""]",3.00,"{""w"": 1.1, ""h"": 4.5, ""d"": 4.2}",Batch 5
WIDGET-110,Sample widget 110,"[""office"", ""clearance""]",3.10,"{""w"": 2.1, ""h"": 5.5, ""d"": 0.2}",Batch 5
WIDGET-111,Sample widget 111,"[""usb"", ""bundle""]",3.20,"{""w"": 3.1, ""h"": 6.5, ""d"": 1.2}",Batch 5
WIDGET-112,Sample widget 112,"[""hardware"", ""new""]",3.30,"{""w"": 4.1, ""h"": 0.5, ""d"": 2.2}",Batch 5
WIDGET-113,Sample widget 113,"[""audio"", ""popular""]",3.40,"{""w"": 5.1, ""h"": 1.5, ""d"": 3.2}",Batch 5
WIDGET-114,Sample widget 114,"[""office"", ""clearance""]",3.50,"{""w"": 6.1, ""h"": 2.5, ""d"": 4.2}",Batch 5
WIDGET-115,Sample widget 115,"[""usb"", ""bundle""]",3.60,"{""w"": 7.1, ""h"": 3.5, ""d"": 0.2}",Batch 5
WIDGET-116,Sample widget 116,"[""hardware"", ""new""]",3.70,"{""w"": 8.1, ""h"": 4.5, ""d"": 1.2}",Batch 5
WIDGET-117,Sample widget 117,"[""audio"", ""popular""]",3.80,"{""w"": 0.1, ""h"": 5.5, ""d"": 2.2}",Batch 5
WIDGET-118,Sample widget 118,"[""office"", ""clearance""]",3.90,"{""w"": 1.1, ""h"": 6.5, ""d"": 3.2}",Batch 5
WIDGET-119,Sample widget 119,"[""usb"", ""bundle""]",4.00,"{""w"": 2.1, ""h"": 0.5, ""d"": 4.2}",Batch 5
WIDGET-120,Sample widget 120,"[""hardware"", ""new""]",0.10,"{""w"": 3.1, ""h"": 1.5, ""d"": 0.2}",Batch 5
WIDGET-121,Sample widget 121,"[""audio"", ""popular""]",0.20,"{""w"": 4.1, ""h"": 2.5, ""d"": 1.2}",Batch 5
WIDGET-122,Sample widget 122,"[""office"", ""clearance""]",0.30,"{""w"": 5.1, ""h"": 3.5, ""d"": 2.2}",Batch 5
WIDGET-123,Sample widget 123,"[""usb"", ""bundle""]",0.40,"{""w"": 6.1, ""h"": 4.5, ""d"": 3.2}",Batch 5
WIDGET-124,Sample widget 124,"[""hardware"", ""new""]",0.50,"{""w"": 7.1, ""h"": 5.5, ""d"": 4.2}",Batch 5
WIDGET-125,Sample widget 125,"[""audio"", ""popular""]",0.60,"{""w"": 8.1, ""h"": 6.5, ""d"": 0.2}",Batch 6
WIDGET-126,Sample widget 126,"[""office"", ""clearance""]",0.70,"{""w"": 0.1, ""h"": 0.5, ""d"": 1.2}",Batch 6
WIDGET-127,Sample widget 127,"[""usb"", ""bundle""]",0.80,"{""w"": 1.1, ""h"": 1.5, ""d"": 2.2}",Batch 6
WIDGET-128,Sample widget 128,"[""hardware"", ""new""]",0.90,"{""w"": 2.1, ""h"": 2.5, ""d"": 3.2}",Batch 6
WIDGET-129,Sample widget 129,"[""audio"", ""popular""]",1.00,"{""w"": 3.1, ""h"": 3.5, ""d"": 4.2}",Batch 6
WIDGET-130,Sample widget 130,"[""office"", ""clearance""]",1.10,"{""w"": 4.1, ""h"": 4.5, ""d"": 0.2}",Batch 6
WIDGET-131,Sample widget 131,"[""usb"", ""bundle""]",1.20,"{""w"": 5.1, ""h"": 5.5, ""d"": 1.2}",Batch 6
WIDGET-132,Sample widget 132,"[""hardware"", ""new""]",1.30,"{""w"": 6.1, ""h"": 6.5, ""d"": 2.2}",Batch 6
WIDGET-133,Sample widget 133,"[""audio"", ""popular""]",1.40,"{""w"": 7.1, ""h"": 0.5, ""d"": 3.2}",Batch 6
WIDGET-134,Sample widget 134,"[""office"", ""clearance""]",1.50,"{""w"": 8.1, ""h"": 1.5, ""d"": 4.2}",Batch 6
WIDGET-135,Sample widget 135,"[""usb"", ""bundle""]",1.60,"{""w"": 0.1, ""h"": 2.5, ""d"": 0.2}",Batch 6
WIDGET-136,Sample widget 136,"[""hardware"", ""new""]",1.70,"{""w"": 1.1, ""h"": 3.5, ""d"": 1.2}",Batch 6
WIDGET-137,Sample widget 137,"[""audio"", ""popular""]",1.80,"{""w"": 2.1, ""h"": 4.5, ""d"": 2.2}",Batch 6
WIDGET-138,Sample widget 138,"[""office"", ""clearance""]",1.90,"{""w"": 3.1, ""h"": 5.5, ""d"": 3.2}",Batch 6
WIDGET-139,Sample widget 139,"[""usb"", ""bundle""]",2.00,"{""w"": 4.1, ""h"": 6.5, ""d"": 4.2}",Batch 6
WIDGET-140,Sample widget 140,"[""hardware"", ""new""]",2.10,"{""w"": 5.1, ""h"": 0.5, ""d"": 0.2}",Batch 6
WIDGET-141,Sample widget 141,"[""audio"", ""popular""]",2.20,"{""w"": 6.1, ""h"": 1.5, ""d"": 1.2}",Batch 6
WIDGET-142,Sample widget 142,"[""office"", ""clearance""]",2.30,"{""w"": 7.1, ""h"": 2.5, ""d"": 2.2}",Batch 6
WIDGET-143,Sample widget 143,"[""usb"", ""bundle""]",2.40,"{""w"": 8.1, ""h"": 3.5, ""d"": 3.2}",Batch 6
WIDGET-144,Sample widget 144,"[""hardware"", ""new""]",2.50,"{""w"": 0.1, ""h"": 4.5, ""d"": 4.2}",Batch 6
WIDGET-145,Sample widget 145,"[""audio"", ""popular""]",2.60,"{""w"": 1.1, ""h"": 5.5, ""d"": 0.2}",Batch 6
WIDGET-146,Sample widget 146,"[""office"", ""clearance""]",2.70,"{""w"": 2.1, ""h"": 6.5, ""d"": 1.2}",Batch 6
WIDGET-147,Sample widget 147,"[""usb"", ""bundle""]",2.80,"{""w"": 3.1, ""h"": 0.5, ""d"": 2.2}",Batch 6
WIDGET-148,Sample widget 148,"[""hardware"", ""new""]",2.90,"{""w"": 4.1, ""h"": 1.5, ""d"": 3.2}",Batch 6
WIDGET-149,Sample widget 149,"[""audio"", ""popular""]",3.00,"{""w"": 5.1, ""h"": 2.5, ""d"": 4.2}",Batch 6
WIDGET-150,Sample widget 150,"[""office"", ""clearance""]",3.10,"{""w"": 6.1, ""h"": 3.5, ""d"": 0.2}",Batch 7
WIDGET-151,Sample widget 151,"[""usb"", ""bundle""]",3.20,"{""w"": 7.1, ""h"": 4.5, ""d"": 1.2}",Batch 7
WIDGET-152,Sample widget 152,"[""hardware"", ""new""]",3.30,"{""w"": 8.1, ""h"": 5.5, ""d"": 2.2}",Batch 7
WIDGET-153,Sample widget 153,"[""audio"", ""popular""]",3.40,"{""w"": 0.1, ""h"": 6.5, ""d"": 3.2}",Batch 7
WIDGET-154,Sample widget 154,"[""office"", ""clearance""]",3.50,"{""w"": 1.1, ""h"": 0.5, ""d"": 4.2}",Batch 7
WIDGET-155,Sample widget 155,"[""usb"", ""bundle""]",3.60,"{""w"": 2.1, ""h"": 1.5, ""d"": 0.2}",Batch 7
WIDGET-156,Sample widget 156,"[""hardware"", ""new""]",3.70,"{""w"": 3.1, ""h"": 2.5, ""d"": 1.2}",Batch 7
WIDGET-157,Sample widget 157,"[""audio"", ""popular""]",3.80,"{""w"": 4.1, ""h"": 3.5, ""d"": 2.2}",Batch 7
WIDGET-158,Sample widget 158,"[""office"", ""clearance""]",3.90,"{""w"": 5.1, ""h"": 4.5, ""d"": 3.2}",Batch 7
WIDGET-159,Sample widget 159,"[""usb"", ""bundle""]",4.00,"{""w"": 6.1, ""h"": 5.5, ""d"": 4.2}",Batch 7
WIDGET-160,Sample widget 160,"[""hardware"", ""new""]",0.10,"{""w"": 7.1, ""h"": 6.5, ""d"": 0.2}",Batch 7
WIDGET-161,Sample widget 161,"[""audio"", ""popular""]",0.20,"{""w"": 8.1, ""h"": 0.5, ""d"": 1.2}",Batch 7
WIDGET-162,Sample widget 162,"[""office"", ""clearance""]",0.30,"{""w"": 0.1, ""h"": 1.5, ""d"": 2.2}",Batch 7
WIDGET-163,Sample widget 163,"[""usb"", ""bundle""]",0.40,"{""w"": 1.1, ""h"": 2.5, ""d"": 3.2}",Batch 7
WIDGET-164,Sample widget 164,"[""hardware"", ""new""]",0.50,"{""w"": 2.1, ""h"": 3.5, ""d"": 4.2}",Batch 7
WIDGET-165,Sample widget 165,"[""audio"", ""popular""]",0.60,"{""w"": 3.1, ""h"": 4.5, ""d"": 0.2}",Batch 7
WIDGET-166,Sample widget 166,"[""office"", ""clearance""]",0.70,"{""w"": 4.1, ""h"": 5.5, ""d"": 1.2}",Batch 7
WIDGET-167,Sample widget 167,"[""usb"", ""bundle""]",0.80,"{""w"": 5.1, ""h"": 6.5, ""d"": 2.2}",Batch 7
WIDGET-168,Sample widget 168,"[""hardware"", ""new""]",0.90,"{""w"": 6.1, ""h"": 0.5, ""d"": 3.2}",Batch 7
WIDGET-169,Sample widget 169,"[""audio"", ""popular""]",1.00,"{""w"": 7.1, ""h"": 1.5, ""d"": 4.2}",Batch 7
WIDGET-170,Sample widget 170,"[""office"", ""clearance""]",1.10,"{""w"": 8.1, ""h"": 2.5, ""d"": 0.2}",Batch 7
WIDGET-171,Sample widget 171,"[""usb"", ""bundle""]",1.20,"{""w"": 0.1, ""h"": 3.5, ""d"": 1.2}",Batch 7
WIDGET-172,Sample widget 172,"[""hardware"", ""new""]",1.30,"{""w"": 1.1, ""h"": 4.5, ""d"": 2.2}",Batch 7
WIDGET-173,Sample widget 173,"[""audio"", ""popular""]",1.40,"{""w"": 2.1, ""h"": 5.5, ""d"": 3.2}",Batch 7
WIDGET-174,Sample widget 174,"[""office"", ""clearance""]",1.50,"{""w"": 3.1, ""h"": 6.5, ""d"": 4.2}",Batch 7
WIDGET-175,Sample widget 175,"[""usb"", ""bundle""]",1.60,"{""w"": 4.1, ""h"": 0.5, ""d"": 0.2}",Batch 8
WIDGET-176,Sample widget 176,"[""hardware"", ""new""]",1.70,"{""w"": 5.1, ""h"": 1.5, ""d"": 1.2}",Batch 8
WIDGET-177,Sample widget 177,"[""audio"", ""popular""]",1.80,"{""w"": 6.1, ""h"": 2.5, ""d"": 2.2}",Batch 8
WIDGET-178,Sample widget 178,"[""office"", ""clearance""]",1.90,"{""w"": 7.1, ""h"": 3.5, ""d"": 3.2}",Batch 8
WIDGET-179,Sample widget 179,"[""usb"", ""bundle""]",2.00,"{""w"": 8.1, ""h"": 4.5, ""d"": 4.2}",Batch 8
WIDGET-180,Sample widget 180,"[""hardware"", ""new""]",2.10,"{""w"": 0.1, ""h"": 5.5, ""d"": 0.2}",Batch 8
WIDGET-181,Sample widget 181,"[""audio"", ""popular""]",2.20,"{""w"": 1.1, ""h"": 6.5, ""d"": 1.2}",Batch 8
WIDGET-182,Sample widget 182,"[""office"", ""clearance""]",2.30,"{""w"": 2.1, ""h"": 0.5, ""d"": 2.2}",Batch 8
WIDGET-183,Sample widget 183,"[""usb"", ""bundle""]",2.40,"{""w"": 3.1, ""h"": 1.5, ""d"": 3.2}",Batch 8
WIDGET-184,Sample widget 184,"[""hardware"", ""new""]",2.50,"{""w"": 4.1, ""h"": 2.5, ""d"": 4.2}",Batch 8
WIDGET-185,Sample widget 185,"[""audio"", ""popular""]",2.60,"{""w"": 5.1, ""h"": 3.5, ""d"": 0.2}",Batch 8
WIDGET-186,Sample widget 186,"[""office"", ""clearance""]",2.70,"{""w"": 6.1, ""h"": 4.5, ""d"": 1.2}",Batch 8
WIDGET-187,Sample widget 187,"[""usb"", ""bundle""]",2.80,"{""w"": 7.1, ""h"": 5.5, ""d"": 2.2}",Batch 8
WIDGET-188,Sample widget 188,"[""hardware"", ""new""]",2.90,"{""w"": 8.1, ""h"": 6.5, ""d"": 3.2}",Batch 8
WIDGET-189,Sample widget 189,"[""audio"", ""popular""]",3.00,"{""w"": 0.1, ""h"": 0.5, ""d"": 4.2}",Batch 8
WIDGET-190,Sample widget 190,"[""office"", ""clearance""]",3.10,"{""w"": 1.1, ""h"": 1.5, ""d"": 0.2}",Batch 8
WIDGET-191,Sample widget 191,"[""usb"", ""bundle""]",3.20,"{""w"": 2.1, ""h"": 2.5, ""d"": 1.2}",Batch 8
WIDGET-192,Sample widget 192,"[""hardware"", ""new""]",3.30,"{""w"": 3.1, ""h"": 3.5, ""d"": 2.2}",Batch 8
