tenantId,eventId,payload.user.id,payload.user.handle,payload.metrics[],meta
t-beta,evt-0127,u1007,@dev07,"[10.0, 1, 4.5]","{""source"": ""web"", ""version"": ""2.7.1""}"
t-gamma,evt-0128,u1008,@dev08,"[11.25, 2, 5.25]","{""source"": ""api"", ""version"": ""3.8.2""}"
t-alpha,evt-0129,u1009,@dev09,"[12.5, 3, 6.0]","{""source"": ""mobile"", ""version"": ""1.9.3""}"
t-beta,evt-0130,u1010,@dev10,"[13.75, 4, 6.75]","{""source"": ""web"", ""version"": ""2.0.4""}"
t-gamma,evt-0131,u1011,@dev11,"[15.0, 5, 7.5]","{""source"": ""api"", ""version"": ""3.1.5""}"
t-alpha,evt-0132,u1012,@dev12,"[16.25, 6, 0.0]","{""source"": ""mobile"", ""version"": ""1.2.6""}"
t-beta,evt-0133,u1013,@dev13,"[17.5, 7, 0.75]","{""source"": ""web"", ""version"": ""2.3.0""}"
t-gamma,evt-0134,u1014,@dev14,"[18.75, 8, 1.5]","{""source"": ""api"", ""version"": ""3.4.1""}"
t-alpha,evt-0135,u1015,@dev15,"[20.0, 0, 2.25]","{""source"": ""mobile"", ""version"": ""1.5.2""}"
t-beta,evt-0136,u1016,@dev16,"[0.0, 1, 3.0]","{""source"": ""web"", ""version"": ""2.6.3""}"
t-gamma,evt-0137,u1017,@dev17,"[1.25, 2, 3.75]","{""source"": ""api"", ""version"": ""3.7.4""}"
t-alpha,evt-0138,u1018,@dev18,"[2.5, 3, 4.5]","{""source"": ""mobile"", ""version"": ""1.8.5""}"
t-beta,evt-0139,u1019,@dev19,"[3.75, 4, 5.25]","{""source"": ""web"", ""version"": ""2.9.6""}"
t-gamma,evt-0140,u1020,@dev20,"[5.0, 5, 6.0]","{""source"": ""api"", ""version"": ""3.0.0""}"
t-alpha,evt-0141,u1021,@dev21,"[6.25, 6, 6.75]","{""source"": ""mobile"", ""version"": ""1.1.1""}"
t-beta,evt-0142,u1022,@dev22,"[7.5, 7, 7.5]","{""source"": ""web"", ""version"": ""2.2.2""}"
t-gamma,evt-0143,u1023,@dev23,"[8.75, 8, 0.0]","{""source"": ""api"", ""version"": ""3.3.3""}"
t-alpha,evt-0144,u1024,@dev24,"[10.0, 0, 0.75]","{""source"": ""mobile"", ""version"": ""1.4.4""}"
t-beta,evt-0145,u1025,@dev25,"[11.25, 1, 1.5]","{""source"": ""web"", ""version"": ""2.5.5""}"
t-gamma,evt-0146,u1026,@dev26,"[12.5, 2, 2.25]","{""source"": ""api"", ""version"": ""3.6.6""}"
t-alpha,evt-0147,u1027,@dev27,"[13.75, 3, 3.0]","{""source"": ""mobile"", ""version"": ""1.7.0""}"
t-beta,evt-0148,u1028,@dev28,"[15.0, 4, 3.75]","{""source"": ""web"", ""version"": ""2.8.1""}"
t-gamma,evt-0149,u1029,@dev29,"[16.25, 5, 4.5]","{""source"": ""api"", ""version"": ""3.9.2""}"
t-alpha,evt-0150,u1030,@dev30,"[17.5, 6, 5.25]","{""source"": ""mobile"", ""version"": ""1.0.3""}"
t-beta,evt-0151,u1031,@dev31,"[18.75, 7, 6.0]","{""source"": ""web"", ""version"": ""2.1.4""}"
t-gamma,evt-0152,u1032,@dev32,"[20.0, 8, 6.75]","{""source"": ""api"", ""version"": ""3.2.5""}"
t-alpha,evt-0153,u1033,@dev33,"[0.0, 0, 7.5]","{""source"": ""mobile"", ""version"": ""1.3.6""}"
t-beta,evt-0154,u1034,@dev34,"[1.25, 1, 0.0]","{""source"": ""web"", ""version"": ""2.4.0""}"
t-gamma,evt-0155,u1035,@dev35,"[2.5, 2, 0.75]","{""source"": ""api"", ""version"": ""3.5.1""}"
t-alpha,evt-0156,u1036,@dev36,"[3.75, 3, 1.5]","{""source"": ""mobile"", ""version"": ""1.6.2""}"
t-beta,evt-0157,u1037,@dev37,"[5.0, 4, 2.25]","{""source"": ""web"", ""version"": ""2.7.3""}"
t-gamma,evt-0158,u1038,@dev38,"[6.25, 5, 3.0]","{""source"": ""api"", ""version"": ""3.8.4""}"
t-alpha,evt-0159,u1039,@dev39,"[7.5, 6, 3.75]","{""source"": ""mobile"", ""version"": ""1.9.5""}"
t-beta,evt-0160,u1040,@dev40,"[8.75, 7, 4.5]","{""source"": ""web"", ""version"": ""2.0.6""}"
t-gamma,evt-0161,u1041,@dev41,"[10.0, 8, 5.25]","{""source"": ""api"", ""version"": ""3.1.0""}"
t-alpha,evt-0162,u1042,@dev42,"[11.25, 0, 6.0]","{""source"": ""mobile"", ""version"": ""1.2.1""}"
t-beta,evt-0163,u1043,@dev43,"[12.5, 1, 6.75]","{""source"": ""web"", ""version"": ""2.3.2""}"
t-gamma,evt-0164,u1044,@dev44,"[13.75, 2, 7.5]","{""source"": ""api"", ""version"": ""3.4.3""}"
t-alpha,evt-0165,u1045,@dev45,"[15.0, 3, 0.0]","{""source"": ""mobile"", ""version"": ""1.5.4""}"
t-beta,evt-0166,u1046,@dev46,"[16.25, 4, 0.75]","{""source"": ""web"", ""version"": ""2.6.5""}"
t-gamma,evt-0167,u1047,@dev47,"[17.5, 5, 1.5]","{""source"": ""api"", ""version"": ""3.7.6""}"
t-alpha,evt-0168,u1048,@dev48,"[18.75, 6, 2.25]","{""source"": ""mobile"", ""version"": ""1.8.0""}"
t-beta,evt-0169,u1049,@dev49,"[20.0, 7, 3.0]","{""source"": ""web"", ""version"": ""2.9.1""}"
t-gamma,evt-0170,u1050,@dev50,"[0.0, 8, 3.75]","{""source"": ""api"", ""version"": ""3.0.2""}"
t-alpha,evt-0171,u1051,@dev51,"[1.25, 0, 4.5]","{""source"": ""mobile"", ""version"": ""1.1.3""}"
t-beta,evt-0172,u1052,@dev52,"[2.5, 1, 5.25]","{""source"": ""web"", ""version"": ""2.2.4""}"
t-gamma,evt-0173,u1053,@dev53,"[3.75, 2, 6.0]","{""source"": ""api"", ""version"": ""3.3.5""}"
t-alpha,evt-0174,u1054,@dev54,"[5.0, 3, 6.75]","{""source"": ""mobile"", ""version"": ""1.4.6""}"
t-beta,evt-0175,u1055,@dev55,"[6.25, 4, 7.5]","{""source"": ""web"", ""version"": ""2.5.0""}"
t-gamma,evt-0176,u1056,@dev56,"[7.5, 5, 0.0]","{""source"": ""api"", ""version"": ""3.6.1""}"
t-alpha,evt-0177,u1057,@dev57,"[8.75, 6, 0.75]","{""source"": ""mobile"", ""version"": ""1.7.2""}"
t-beta,evt-0178,u1058,@dev58,"[10.0, 7, 1.5]","{""source"": ""web"", ""version"": ""2.8.3""}"
t-gamma,evt-0179,u1059,@dev59,"[11.25, 8, 2.25]","{""source"": ""api"", ""version"": ""3.9.4""}"
t-alpha,evt-0180,u1000,@dev00,"[12.5, 0, 3.0]","{""source"": ""mobile"", ""version"": ""1.0.5""}"
t-beta,evt-0181,u1001,@dev01,"[13.75, 1, 3.75]","{""source"": ""web"", ""version"": ""2.1.6""}"
t-gamma,evt-0182,u1002,@dev02,"[15.0, 2, 4.5]","{""source"": ""api"", ""version"": ""3.2.0""}"
t-alpha,evt-0183,u1003,@dev03,"[16.25, 3, 5.25]","{""source"": ""mobile"", ""version"": ""1.3.1""}"
t-beta,evt-0184,u1004,@dev04,"[17.5, 4, 6.0]","{""source"": ""web"", ""version"": ""2.4.2""}"
t-gamma,evt-0185,u1005,@dev05,"[18.75, 5, 6.75]","{""source"": ""api"", ""version"": ""3.5.3""}"
t-alpha,evt-0186,u1006,@dev06,"[20.0, 6, 7.5]","{""source"": ""mobile"", ""version"": ""1.6.4""}"
t-beta,evt-0187,u1007,@dev07,"[0.0, 7, 0.0]","{""source"": ""web"", ""version"": ""2.7.5""}"
t-gamma,evt-0188,u1008,@dev08,"[1.25, 8, 0.75]","{""source"": ""api"", ""version"": ""3.8.6""}"
t-alpha,evt-0189,u1009,@dev09,"[2.5, 0, 1.5]","{""source"": ""mobile"", ""version"": ""1.9.0""}"
t-beta,evt-0190,u1010,@dev10,"[3.75, 1, 2.25]","{""source"": ""web"", ""version"": ""2.0.1""}"
t-gamma,evt-0191,u1011,@dev11,"[5.0, 2, 3.0]","{""source"": ""api"", ""version"": ""3.1.2""}"
t-alpha,evt-0192,u1012,@dev12,"[6.25, 3, 3.75]","{""source"": ""mobile"", ""version"": ""1.2.3""}"
t-beta,evt-0193,u1013,@dev13,"[7.5, 4, 4.5]","{""source"": ""web"", ""version"": ""2.3.4""}"
t-gamma,evt-0194,u1014,@dev14,"[8.75, 5, 5.25]","{""source"": ""api"", ""version"": ""3.4.5""}"
t-alpha,evt-0195,u1015,@dev15,"[10.0, 6, 6.0]","{""source"": ""mobile"", ""version"": ""1.5.6""}"
t-beta,evt-0196,u1016,@dev16,"[11.25, 7, 6.75]","{""source"": ""web"", ""version"": ""2.6.0""}"
t-gamma,evt-0197,u1017,@dev17,"[12.5, 8, 7.5]","{""source"": ""api"", ""version"": ""3.7.1""}"
t-alpha,evt-0198,u1018,@dev18,"[13.75, 0, 0.0]","{""source"": ""mobile"", ""version"": ""1.8.2""}"
t-beta,evt-0199,u1019,@dev19,"[15.0, 1, 0.75]","{""source"": ""web"", ""version"": ""2.9.3""}"
t-gamma,evt-0200,u1020,@dev20,"[16.25, 2, 1.5]","{""source"": ""api"", ""version"": ""3.0.4""}"
t-alpha,evt-0201,u1021,@dev21,"[17.5, 3, 2.25]","{""source"": ""mobile"", ""version"": ""1.1.5""}"
t-beta,evt-0202,u1022,@dev22,"[18.75, 4, 3.0]","{""source"": ""web"", ""version"": ""2.2.6""}"
t-gamma,evt-0203,u1023,@dev23,"[20.0, 5, 3.75]","{""source"": ""api"", ""version"": ""3.3.0""}"
t-alpha,evt-0204,u1024,@dev24,"[0.0, 6, 4.5]","{""source"": ""mobile"", ""version"": ""1.4.1""}"
t-beta,evt-0205,u1025,@dev25,"[1.25, 7, 5.25]","{""source"": ""web"", ""version"": ""2.5.2""}"
t-gamma,evt-0206,u1026,@dev26,"[2.5, 8, 6.0]","{""source"": ""api"", ""version"": ""3.6.3""}"
t-alpha,evt-0207,u1027,@dev27,"[3.75, 0, 6.75]","{""source"": ""mobile"", ""version"": ""1.7.4""}"
t-beta,evt-0208,u1028,@dev28,"[5.0, 1, 7.5]","{""source"": ""web"", ""version"": ""2.8.5""}"
t-gamma,evt-0209,u1029,@dev29,"[6.25, 2, 0.0]","{""source"": ""api"", ""version"": ""3.9.6""}"
t-alpha,evt-0210,u1030,@dev30,"[7.5, 3, 0.75]","{""source"": ""mobile"", ""version"": ""1.0.0""}"
t-beta,evt-0211,u1031,@dev31,"[8.75, 4, 1.5]","{""source"": ""web"", ""version"": ""2.1.1""}"
t-gamma,evt-0212,u1032,@dev32,"[10.0, 5, 2.25]","{""source"": ""api"", ""version"": ""3.2.2""}"
t-alpha,evt-0213,u1033,@dev33,"[11.25, 6, 3.0]","{""source"": ""mobile"", ""version"": ""1.3.3""}"
t-beta,evt-0214,u1034,@dev34,"[12.5, 7, 3.75]","{""source"": ""web"", ""version"": ""2.4.4""}"
t-gamma,evt-0215,u1035,@dev35,"[13.75, 8, 4.5]","{""source"": ""api"", ""version"": ""3.5.5""}"
t-alpha,evt-0216,u1036,@dev36,"[15.0, 0, 5.25]","{""source"": ""mobile"", ""version"": ""1.6.6""}"
t-beta,evt-0217,u1037,@dev37,"[16.25, 1, 6.0]","{""source"": ""web"", ""version"": ""2.7.0""}"
t-gamma,evt-0218,u1038,@dev38,"[17.5, 2, 6.75]","{""source"": ""api"", ""version"": ""3.8.1""}"
t-alpha,evt-0219,u1039,@dev39,"[18.75, 3, 7.5]","{""source"": ""mobile"", ""version"": ""1.9.2""}"
t-beta,evt-0220,u1040,@dev40,"[20.0, 4, 0.0]","{""source"": ""web"", ""version"": ""2.0.3""}"
t-gamma,evt-0221,u1041,@dev41,"[0.0, 5, 0.75]","{""source"": ""api"", ""version"": ""3.1.4""}"
t-alpha,evt-0222,u1042,@dev42,"[1.25, 6, 1.5]","{""source"": ""mobile"", ""version"": ""1.2.5""}"
t-beta,evt-0223,u1043,@dev43,"[2.5, 7, 2.25]","{""source"": ""web"", ""version"": ""2.3.6""}"
