customerId,support.ticketId,support.priority,support.openedAt
CUST-104,TCK-1104,low,2026-02-21
CUST-105,TCK-1105,medium,2026-02-22
CUST-106,TCK-1106,high,2026-02-23
CUST-107,TCK-1107,urgent,2026-02-24
CUST-108,TCK-1108,low,2026-02-25
CUST-109,TCK-1109,medium,2026-02-26
CUST-110,TCK-1110,high,2026-02-27
CUST-111,TCK-1111,urgent,2026-02-28
CUST-112,TCK-1112,low,2026-02-01
CUST-113,TCK-1113,medium,2026-02-02
CUST-114,TCK-1114,high,2026-02-03
CUST-115,TCK-1115,urgent,2026-02-04
CUST-116,TCK-1116,low,2026-02-05
CUST-117,TCK-1117,medium,2026-02-06
CUST-118,TCK-1118,high,2026-02-07
CUST-119,TCK-1119,urgent,2026-02-08
CUST-120,TCK-1120,low,2026-02-09
CUST-121,TCK-1121,medium,2026-02-10
CUST-122,TCK-1122,high,2026-02-11
CUST-123,TCK-1123,urgent,2026-02-12
CUST-124,TCK-1124,low,2026-02-13
CUST-125,TCK-1125,medium,2026-02-14
CUST-126,TCK-1126,high,2026-02-15
CUST-127,TCK-1127,urgent,2026-02-16
CUST-128,TCK-1128,low,2026-02-17
CUST-129,TCK-1129,medium,2026-02-18
CUST-130,TCK-1130,high,2026-02-19
CUST-131,TCK-1131,urgent,2026-02-20
CUST-132,TCK-1132,low,2026-02-21
CUST-133,TCK-1133,medium,2026-02-22
CUST-134,TCK-1134,high,2026-02-23
CUST-135,TCK-1135,urgent,2026-02-24
CUST-136,TCK-1136,low,2026-02-25
CUST-137,TCK-1137,medium,2026-02-26
CUST-138,TCK-1138,high,2026-02-27
CUST-139,TCK-1139,urgent,2026-02-28
CUST-140,TCK-1140,low,2026-02-01
CUST-141,TCK-1141,medium,2026-02-02
CUST-142,TCK-1142,high,2026-02-03
CUST-143,TCK-1143,urgent,2026-02-04
CUST-144,TCK-1144,low,2026-02-05
CUST-145,TCK-1145,medium,2026-02-06
CUST-146,TCK-1146,high,2026-02-07
CUST-147,TCK-1147,urgent,2026-02-08
CUST-148,TCK-1148,low,2026-02-09
CUST-149,TCK-1149,medium,2026-02-10
CUST-150,TCK-1150,high,2026-02-11
CUST-151,TCK-1151,urgent,2026-02-12
CUST-152,TCK-1152,low,2026-02-13
CUST-153,TCK-1153,medium,2026-02-14
CUST-154,TCK-1154,high,2026-02-15
CUST-155,TCK-1155,urgent,2026-02-16
CUST-156,TCK-1156,low,2026-02-17
CUST-157,TCK-1157,medium,2026-02-18
CUST-158,TCK-1158,high,2026-02-19
CUST-159,TCK-1159,urgent,2026-02-20
CUST-160,TCK-1160,low,2026-02-21
CUST-161,TCK-1161,medium,2026-02-22
CUST-162,TCK-1162,high,2026-02-23
CUST-163,TCK-1163,urgent,2026-02-24
CUST-164,TCK-1164,low,2026-02-25
CUST-165,TCK-1165,medium,2026-02-26
CUST-166,TCK-1166,high,2026-02-27
CUST-167,TCK-1167,urgent,2026-02-28
CUST-168,TCK-1168,low,2026-02-01
CUST-169,TCK-1169,medium,2026-02-02
CUST-170,TCK-1170,high,2026-02-03
CUST-171,TCK-1171,urgent,2026-02-04
CUST-172,TCK-1172,low,2026-02-05
CUST-173,TCK-1173,medium,2026-02-06
CUST-174,TCK-1174,high,2026-02-07
CUST-175,TCK-1175,urgent,2026-02-08
CUST-176,TCK-1176,low,2026-02-09
CUST-177,TCK-1177,medium,2026-02-10
CUST-178,TCK-1178,high,2026-02-11
CUST-179,TCK-1179,urgent,2026-02-12
CUST-180,TCK-1180,low,2026-02-13
CUST-181,TCK-1181,medium,2026-02-14
CUST-182,TCK-1182,high,2026-02-15
CUST-183,TCK-1183,urgent,2026-02-16
CUST-184,TCK-1184,low,2026-02-17
CUST-185,TCK-1185,medium,2026-02-18
CUST-186,TCK-1186,high,2026-02-19
CUST-187,TCK-1187,urgent,2026-02-20
CUST-188,TCK-1188,low,2026-02-21
CUST-189,TCK-1189,medium,2026-02-22
CUST-190,TCK-1190,high,2026-02-23
CUST-191,TCK-1191,urgent,2026-02-24
CUST-192,TCK-1192,low,2026-02-25
CUST-193,TCK-1193,medium,2026-02-26
CUST-194,TCK-1194,high,2026-02-27
CUST-195,TCK-1195,urgent,2026-02-28
CUST-196,TCK-1196,low,2026-02-01
CUST-197,TCK-1197,medium,2026-02-02
CUST-198,TCK-1198,high,2026-02-03
CUST-199,TCK-1199,urgent,2026-02-04
CUST-200,TCK-1200,low,2026-02-05
CUST-201,TCK-1201,medium,2026-02-06
CUST-202,TCK-1202,high,2026-02-07
CUST-203,TCK-1203,urgent,2026-02-08
CUST-204,TCK-1204,low,2026-02-09
CUST-205,TCK-1205,medium,2026-02-10
CUST-206,TCK-1206,high,2026-02-11
CUST-207,TCK-1207,urgent,2026-02-12
CUST-208,TCK-1208,low,2026-02-13
CUST-209,TCK-1209,medium,2026-02-14
CUST-210,TCK-1210,high,2026-02-15
CUST-211,TCK-1211,urgent,2026-02-16
CUST-212,TCK-1212,low,2026-02-17
CUST-213,TCK-1213,medium,2026-02-18
CUST-214,TCK-1214,high,2026-02-19
CUST-215,TCK-1215,urgent,2026-02-20
CUST-216,TCK-1216,low,2026-02-21
CUST-217,TCK-1217,medium,2026-02-22
CUST-218,TCK-1218,high,2026-02-23
CUST-219,TCK-1219,urgent,2026-02-24
CUST-220,TCK-1220,low,2026-02-25
CUST-221,TCK-1221,medium,2026-02-26
CUST-222,TCK-1222,high,2026-02-27
CUST-223,TCK-1223,urgent,2026-02-28
CUST-224,TCK-1224,low,2026-02-01
CUST-225,TCK-1225,medium,2026-02-02
CUST-226,TCK-1226,high,2026-02-03
CUST-227,TCK-1227,urgent,2026-02-04
CUST-228,TCK-1228,low,2026-02-05
CUST-229,TCK-1229,medium,2026-02-06
CUST-230,TCK-1230,high,2026-02-07
CUST-231,TCK-1231,urgent,2026-02-08
CUST-232,TCK-1232,low,2026-02-09
CUST-233,TCK-1233,medium,2026-02-10
CUST-234,TCK-1234,high,2026-02-11
CUST-235,TCK-1235,urgent,2026-02-12
CUST-236,TCK-1236,low,2026-02-13
CUST-237,TCK-1237,medium,2026-02-14
CUST-238,TCK-1238,high,2026-02-15
CUST-239,TCK-1239,urgent,2026-02-16
CUST-240,TCK-1240,low,2026-02-17
CUST-241,TCK-1241,medium,2026-02-18
CUST-242,TCK-1242,high,2026-02-19
CUST-243,TCK-1243,urgent,2026-02-20
CUST-244,TCK-1244,low,2026-02-21
CUST-245,TCK-1245,medium,2026-02-22
CUST-246,TCK-1246,high,2026-02-23
CUST-247,TCK-1247,urgent,2026-02-24
CUST-248,TCK-1248,low,2026-02-25
CUST-249,TCK-1249,medium,2026-02-26
CUST-250,TCK-1250,high,2026-02-27
